City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,6.26,81,100,6.65,RU,1696187966
1,pandan,14.0453,124.1694,27.29,87,100,4.25,PH,1696187410
2,qaqortoq,60.7167,-46.0333,3.05,82,100,2.14,GL,1696187410
3,blackmans bay,-43.0167,147.3167,6.4,90,14,2.69,AU,1696187410
4,constantia,44.1833,28.65,19.38,54,95,5.85,RO,1696187410
5,jamestown,42.097,-79.2353,25.01,61,20,4.63,US,1696187258
6,tarakan,3.3,117.6333,26.52,83,100,1.79,ID,1696187410
7,port-aux-francais,-49.35,70.2167,6.49,97,100,19.82,TF,1696187411
8,kourou,5.1552,-52.6478,32.03,65,100,6.1,GF,1696187411
9,edinburgh of the seven seas,-37.0676,-12.3116,9.81,61,100,11.43,SH,1696187411
10,tambopata,-12.7333,-69.1833,32.94,49,20,3.09,PE,1696187411
11,badger,64.8,-147.5333,5.55,68,100,3.09,US,1696187411
12,duong dong,10.2167,103.9667,26.0,100,40,5.14,VN,1696187411
13,cabo san lucas,22.8909,-109.9124,34.78,57,0,7.72,MX,1696187404
14,grytviken,-54.2811,-36.5092,4.9,80,7,4.79,GS,1696187411
15,ashland,40.8167,-82.2665,26.7,69,0,1.96,US,1696187412
16,christchurch,-43.5333,172.6333,16.11,59,12,5.66,NZ,1696187130
17,waitangi,-43.9535,-176.5597,12.68,90,17,2.24,NZ,1696187412
18,albany,42.6001,-73.9662,25.51,60,0,1.34,US,1696187193
19,sosnovo-ozerskoye,52.5249,111.5418,5.2,74,100,2.35,RU,1696187412
20,la passe,45.5549,-0.8967,26.13,54,11,2.3,FR,1696187412
21,san antonio de pale,-1.4014,5.6325,25.27,83,92,6.6,GQ,1696187412
22,zhangye,38.9342,100.4517,13.24,47,100,2.77,CN,1696187412
23,queenstown,-31.8976,26.8753,9.58,78,12,4.92,ZA,1696187412
24,bethel,41.3712,-73.414,26.05,61,0,3.09,US,1696187156
25,dombarovskiy,50.7587,59.5386,14.44,51,100,3.58,RU,1696187413
26,emerald,-23.5333,148.1667,14.08,83,0,3.09,AU,1696187413
27,sabang,5.8933,95.3214,27.84,78,11,7.27,ID,1696187413
28,selebi-phikwe,-21.979,27.8498,21.77,54,2,10.55,BW,1696187413
29,longyearbyen,78.2186,15.6401,-4.09,58,75,7.2,SJ,1696187413
30,bar,49.0772,27.6826,11.54,62,79,3.64,UA,1696187413
31,uturoa,-16.7333,-151.4333,26.01,78,66,8.41,PF,1696187413
32,solleftea,63.1667,17.2667,7.92,79,12,2.49,SE,1696187413
33,ushuaia,-54.8,-68.3,4.15,62,87,4.34,AR,1696187414
34,fort bragg,35.139,-79.006,27.17,57,40,4.12,US,1696187186
35,wailua homesteads,22.0669,-159.378,27.24,77,40,5.66,US,1696187414
36,mejit,10.2753,170.8646,27.82,79,100,5.99,MH,1696187414
37,acara,-1.9608,-48.1967,36.97,31,96,1.54,BR,1696187414
38,iqaluit,63.7506,-68.5145,4.83,75,96,1.79,CA,1696187414
39,kenora,49.8167,-94.4337,17.54,100,100,2.57,CA,1696187209
40,tura,25.5198,90.2201,23.51,97,100,2.01,IN,1696187414
41,bilibino,68.0546,166.4372,-4.47,89,100,0.14,RU,1696187414
42,krasnovishersk,60.4078,57.082,11.41,76,100,4.75,RU,1696187415
43,orange walk,17.8333,-88.8333,34.41,48,98,2.0,BZ,1696187119
44,island harbour,50.724,-1.2758,18.97,91,99,0.89,GB,1696187415
45,prado,-17.3411,-39.2208,24.44,69,9,5.12,BR,1696187850
46,port elizabeth,-33.918,25.5701,15.17,73,0,2.24,ZA,1696187415
47,hawaiian paradise park,19.5933,-154.9731,27.16,87,75,2.57,US,1696187415
48,holualoa,19.6228,-155.9522,28.26,70,20,3.09,US,1696187415
49,dalgopol,43.05,27.35,22.21,45,81,1.31,BG,1696187415
50,puerto deseado,-47.7503,-65.8938,11.24,49,100,2.95,AR,1696187415
51,mizdah,31.4451,12.9801,23.51,47,0,6.28,LY,1696187415
52,pucon,-39.2822,-71.9543,16.33,59,100,1.81,CL,1696187416
53,west island,-12.1568,96.8225,24.99,78,75,7.72,CC,1696187416
54,bredasdorp,-34.5322,20.0403,12.0,81,0,4.13,ZA,1696187416
55,avarua,-21.2078,-159.775,25.03,94,75,2.06,CK,1696187416
56,boa vista,2.8197,-60.6733,36.99,30,40,2.57,BR,1696187973
57,bealanana,-14.55,48.7333,16.69,94,32,0.56,MG,1696187240
58,georgetown,5.4112,100.3354,27.96,83,20,0.0,MY,1696187230
59,nemuro,43.3236,145.575,15.07,82,99,3.07,JP,1696187416
60,yellowknife,62.456,-114.3525,8.56,90,75,5.66,CA,1696187416
61,dudinka,69.4058,86.1778,-14.07,100,84,1.79,RU,1696187417
62,brokopondo,4.75,-55.1667,34.59,37,100,1.65,SR,1696187974
63,youssoufia,32.2463,-8.5294,28.89,25,100,4.94,MA,1696187417
64,haiku-pauwela,20.9219,-156.3051,28.01,65,20,8.23,US,1696187417
65,kamphaeng phet,16.25,99.5,23.57,93,100,0.48,TH,1696187417
66,pyhajarvi,67.0701,27.2176,4.66,91,97,1.81,FI,1696187417
67,puerto natales,-51.7236,-72.4875,2.25,87,100,9.26,CL,1696187417
68,capao da canoa,-29.7456,-50.0097,16.33,60,5,5.87,BR,1696187417
69,ilulissat,69.2167,-51.1,0.01,59,20,1.54,GL,1696187417
70,sinabang,2.4803,96.3801,26.04,87,100,4.48,ID,1696187418
71,lata,40.1629,-8.3327,21.22,59,50,1.57,PT,1696187418
72,invercargill,-46.4,168.35,13.34,80,20,4.92,NZ,1696187418
73,olonkinbyen,70.9221,-8.7187,-0.38,88,100,5.0,SJ,1696187418
74,xinzhi,36.4989,111.7047,15.8,57,100,1.36,CN,1696187418
75,woolgoolga,-30.1106,153.2007,20.58,66,12,3.79,AU,1696187975
76,mar del plata,-38.0023,-57.5575,13.07,80,5,0.89,AR,1696187342
77,port-vila,-17.7338,168.3219,20.78,78,40,2.57,VU,1696187716
78,tiksi,71.6872,128.8694,-8.29,91,60,2.48,RU,1696187418
79,yemva,62.59,50.8594,12.25,86,100,4.47,RU,1696187419
80,borogontsy,62.6683,131.1683,3.49,85,100,1.79,RU,1696187419
81,jayapura,-2.5333,140.7,23.66,92,81,1.48,ID,1696187975
82,isafjordur,66.0755,-23.124,6.41,93,100,7.64,IS,1696187419
83,ciudad lazaro cardenas,17.9583,-102.2,31.51,68,5,3.72,MX,1696187263
84,atafu village,-8.5421,-172.5159,28.14,71,17,0.77,TK,1696187419
85,udachny,66.4167,112.4,-1.97,92,100,7.49,RU,1696187419
86,richards bay,-28.783,32.0377,18.06,63,92,3.94,ZA,1696187419
87,hithadhoo,-0.6,73.0833,27.86,73,46,6.0,MV,1696187419
88,bouna,9.2667,-3.0,25.08,87,9,2.13,CI,1696187419
89,la'ie,21.6477,-157.9253,28.98,75,5,4.02,US,1696187420
90,margaret river,-33.95,115.0667,11.07,69,100,11.4,AU,1696187420
91,anadyr,64.75,177.4833,-3.72,93,0,1.0,RU,1696187420
92,kodiak,57.79,-152.4072,8.73,93,100,7.2,US,1696187420
93,happy valley-goose bay,53.3168,-60.3315,11.74,49,79,6.52,CA,1696187420
94,port mathurin,-19.6833,63.4167,23.24,75,1,8.42,MU,1696187420
95,kapa'a,22.0752,-159.319,27.99,77,40,5.66,US,1696187420
96,prozor,43.8222,17.6092,10.76,74,1,1.86,BA,1696187420
97,ribeira grande,38.5167,-28.7,22.22,60,40,2.68,PT,1696187421
98,tolanaro,-25.0319,46.9987,22.02,87,6,3.37,MG,1696187421
99,sarmiento,-45.5882,-69.07,15.34,28,100,7.74,AR,1696187421
100,lichuan,30.3,108.85,15.42,99,100,1.83,CN,1696187421
101,flying fish cove,-10.4217,105.6791,23.82,88,75,5.14,CX,1696187421
102,al mutayrifi,25.4788,49.5576,28.19,24,0,1.04,SA,1696187421
103,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1696187400
104,corner brook,48.9667,-57.9484,19.09,62,11,4.82,CA,1696187169
105,puerto ayora,-0.7393,-90.3518,30.98,87,97,2.68,EC,1696187421
106,tataouine,32.9297,10.4518,21.51,69,0,4.07,TN,1696187422
107,katabu,-4.9333,122.5167,22.64,97,6,1.42,ID,1696187422
108,whitehorse,60.7161,-135.0538,5.05,93,100,9.39,CA,1696187422
109,gadzhiyevo,69.2551,33.3362,6.08,80,98,7.72,RU,1696187422
110,sitangkai,4.6628,119.3928,28.86,77,100,7.76,PH,1696187422
111,vernon,50.2581,-119.2691,13.12,49,13,0.82,CA,1696187397
112,konsoy,40.4915,69.7025,14.98,31,49,1.77,TJ,1696187422
113,mogadishu,2.0371,45.3438,25.71,85,0,6.63,SO,1696187422
114,vulcan,45.3833,23.2667,12.37,79,90,2.62,RO,1696187422
115,benjamin constant,-4.3831,-70.0311,34.07,66,40,2.57,BR,1696187422
116,guerrero negro,27.9769,-114.0611,23.61,55,1,6.05,MX,1696187291
117,vorgashor,67.5833,63.95,8.35,98,100,6.44,RU,1696187423
118,talnakh,69.4865,88.3972,-12.58,92,21,2.53,RU,1696187423
119,mildura,-34.2,142.15,12.26,60,68,4.95,AU,1696187423
120,adamstown,-25.066,-130.1015,20.62,83,14,11.24,PN,1696187423
121,namibe,-15.1961,12.1522,18.93,82,0,1.1,AO,1696187423
122,watari,38.035,140.8511,19.32,76,0,2.76,JP,1696187423
123,stanley,54.868,-1.6985,14.33,88,40,1.03,GB,1696187423
124,ketchikan,55.3422,-131.6461,9.99,100,100,6.17,US,1696187423
125,adrar,20.5022,-10.0711,33.55,13,12,4.15,MR,1696187424
126,kone,-21.0595,164.8658,17.87,83,10,2.63,NC,1696187424
127,papatowai,-46.5619,169.4708,13.15,71,71,6.3,NZ,1696187424
128,aginskoye,51.1,114.53,6.93,59,66,1.37,RU,1696187424
129,villa madero,19.4,-101.2667,23.15,54,48,1.83,MX,1696187424
130,chibougamau,49.9168,-74.3659,18.96,43,7,2.81,CA,1696187245
131,de aar,-30.6497,24.0123,15.21,26,0,6.35,ZA,1696187424
132,daru,-9.0763,143.2092,24.86,89,100,6.55,PG,1696187424
133,betio village,1.358,172.9211,27.02,73,19,2.81,KI,1696187425
134,cloquet,46.7216,-92.4594,24.1,84,0,3.09,US,1696187425
135,hermanus,-34.4187,19.2345,12.91,79,0,4.64,ZA,1696187425
136,bandarbeyla,9.4942,50.8122,26.09,86,43,5.33,SO,1696187425
137,thompson,55.7435,-97.8558,4.45,87,100,2.0,CA,1696187425
138,port douglas,-16.4833,145.4667,22.61,78,57,4.12,AU,1696187425
139,estacion coahuila,32.1939,-115.0017,27.7,28,1,2.49,MX,1696187425
140,mamanguape,-6.8386,-35.1261,28.18,55,13,5.41,BR,1696187311
141,san andres,12.5847,-81.7006,31.01,74,20,2.06,CO,1696187204
142,tucuma,-0.1833,-50.05,32.44,57,100,6.53,BR,1696187426
143,nova sintra,14.8667,-24.7167,23.82,79,28,6.84,CV,1696187426
144,al lagowa,11.4,29.1333,28.45,54,76,2.55,SD,1696187426
145,berezovo,63.9381,65.0419,9.98,90,93,4.92,RU,1696187426
146,jian'ou,27.0469,118.3253,23.37,96,100,0.88,CN,1696187427
