City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ochsenhausen,48.0667,9.95,22.6,67,40,1.03,DE,1696265987
3,bethel,41.3712,-73.414,25.08,64,0,2.06,US,1696265903
4,talnakh,69.4865,88.3972,-2.66,85,100,7.8,RU,1696265991
6,tralee,52.2704,-9.7026,15.14,77,40,2.57,IE,1696265994
7,fort mcmurray,56.7268,-111.381,9.73,87,100,1.03,CA,1696265709
11,udachny,66.4167,112.4,-5.86,85,13,2.52,RU,1696265996
13,prince rupert,54.3161,-130.3201,11.05,97,100,5.14,CA,1696265989
14,abomsa,9.9833,39.9833,25.08,30,6,2.7,ET,1696265998
15,enewetak,11.3474,162.3373,28.96,78,98,6.71,MH,1696265999
18,mili,6.0815,171.735,27.96,78,16,3.16,MH,1696266001
20,albany,42.6001,-73.9662,23.76,50,14,2.23,US,1696265805
22,argostolion,38.1811,20.489,24.86,43,2,2.23,GR,1696265861
26,utrik,11.2278,169.8474,28.62,79,58,6.77,MH,1696266012
27,lihue,21.9789,-159.3672,21.31,83,13,2.25,US,1696266014
31,brak,27.5496,14.2714,28.94,33,31,5.85,LY,1696266017
35,jamestown,42.097,-79.2353,26.12,57,0,0.0,US,1696265920
36,ribeira grande,38.5167,-28.7,22.22,60,20,5.14,PT,1696266025
37,pacific grove,36.6177,-121.9166,16.33,95,100,0.89,US,1696266025
42,nantucket,41.2835,-70.0995,21.08,78,0,10.29,US,1696265772
43,baikonur,45.6167,63.3167,15.57,41,0,1.05,KZ,1696266032
44,wailua homesteads,22.0669,-159.378,20.97,83,4,3.48,US,1696266033
45,ilulissat,69.2167,-51.1,-0.99,59,0,2.57,GL,1696266034
47,bhum,18.4667,75.6667,23.92,79,100,3.33,IN,1696266036
49,palmer,42.1584,-72.3287,23.37,55,40,3.6,US,1696265901
50,college,64.8569,-147.8028,1.15,92,100,1.54,US,1696266039
51,hawaiian paradise park,19.5933,-154.9731,22.8,96,88,2.59,US,1696266040
52,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,88,100,6.71,RU,1696266041
53,susuman,62.7833,148.1667,-1.68,82,9,1.34,RU,1696266042
54,manturovo,58.3353,44.7619,12.66,88,100,1.95,RU,1696266044
55,adiake,5.2863,-3.304,27.37,78,89,3.26,CI,1696266044
56,yecla,38.6137,-1.1147,25.99,29,3,3.22,ES,1696266045
57,haiku-pauwela,20.9219,-156.3051,24.47,77,49,4.38,US,1696266045
58,longyearbyen,78.2186,15.6401,-3.09,74,75,9.26,SJ,1696266046
62,huangpi,30.8845,114.3779,18.06,100,100,2.0,CN,1696266048
63,kalmunai,7.4167,81.8167,24.72,91,64,5.57,LK,1696266048
66,thompson,55.7435,-97.8558,4.09,93,100,2.06,CA,1696266049
67,qaqortoq,60.7167,-46.0333,4.52,61,100,0.27,GL,1696266049
68,la'ie,21.6477,-157.9253,24.12,85,5,1.34,US,1696266049
69,sitka,57.0531,-135.33,10.94,87,100,3.09,US,1696265944
70,raduzhny,62.0961,77.475,10.11,81,96,8.49,RU,1696266049
72,iqaluit,63.7506,-68.5145,5.85,70,75,6.17,CA,1696266014
74,onega,63.9061,38.1404,6.26,80,30,2.74,RU,1696266050
75,zhangye,38.9342,100.4517,14.46,37,50,0.66,CN,1696266050
76,plouzane,48.3833,-4.6167,18.18,94,100,5.66,FR,1696266050
77,la passe,45.5549,-0.8967,31.13,70,6,3.83,FR,1696266051
78,constantia,44.1833,28.65,18.38,39,5,4.24,RO,1696266051
79,portland,45.5234,-122.6762,14.79,78,100,2.57,US,1696265955
80,chegdomyn,51.1167,133.0167,5.18,89,87,0.89,RU,1696266051
82,anadyr,64.75,177.4833,-0.72,92,0,4.0,RU,1696266051
83,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1696266052
85,saint croix,17.7397,-64.7388,30.43,70,36,6.07,VI,1696266052
86,tazovsky,67.4667,78.7,7.04,97,100,7.47,RU,1696266052
87,kutum,14.2,24.6667,30.3,32,77,2.94,SD,1696266052
89,kahuta,33.5913,73.3868,23.8,28,0,4.01,PK,1696266053
90,dhuusamarreeb,5.535,46.3861,31.44,44,69,6.86,SO,1696266053
92,weno,7.4515,151.8468,28.33,73,66,1.72,FM,1696266053
94,xilin hot,43.9667,116.0333,12.37,63,63,5.62,CN,1696266053
95,georgetown,5.4112,100.3354,28.86,92,20,2.24,MY,1696266053
96,taksimo,56.3444,114.8794,-0.72,70,65,0.89,RU,1696266053
97,rockland,41.1668,-74.0496,26.28,66,50,3.05,US,1696266054
98,tura,25.5198,90.2201,23.31,93,41,2.32,IN,1696266054
99,tlahualilo de zaragoza,26.1167,-103.45,28.77,42,83,4.89,MX,1696266055
100,heihe,50.2441,127.4902,9.03,81,12,0.67,CN,1696266055
102,khanbari,27.3747,87.2039,23.4,88,80,2.23,NP,1696266055
103,new river,33.9159,-112.136,25.6,36,3,3.12,US,1696266056
104,shimoda,34.6667,138.95,19.5,80,100,1.93,JP,1696266056
105,beni,0.5,29.4667,21.14,72,44,1.15,CD,1696266056
106,puerto ayacucho,5.6639,-67.6236,32.55,57,100,2.15,VE,1696266056
109,shikarpur,27.9571,68.6379,26.94,7,0,1.4,PK,1696266057
110,arta,39.1606,20.9853,23.8,48,65,0.37,GR,1696266057
111,cabo san lucas,22.8909,-109.9124,33.67,62,10,3.45,MX,1696266029
112,ust-nera,64.5667,143.2,-1.55,81,32,0.89,RU,1696266057
114,manay,7.215,126.5397,25.18,89,100,2.28,PH,1696266058
115,lazaro cardenas,17.9583,-102.2,31.54,66,92,1.94,MX,1696266058
116,sinabang,2.4803,96.3801,26.07,82,90,4.17,ID,1696266058
119,dryden,49.7833,-92.7503,25.16,53,0,5.14,CA,1696266059
120,brandon,27.9378,-82.2859,31.25,76,75,5.66,US,1696265855
124,banfora,10.6333,-4.7667,30.74,64,84,2.89,BF,1696266059
125,khandyga,62.6667,135.6,4.93,88,91,1.74,RU,1696266059
126,ornskoldsvik,63.2909,18.7153,8.53,100,100,1.03,SE,1696266059
127,egilsstadir,65.2653,-14.3948,5.95,100,100,10.29,IS,1696266060
128,newman,37.3138,-121.0208,20.13,58,5,1.87,US,1696266045
129,saipan,15.1355,145.701,29.2,79,30,6.69,MP,1696266060
131,stanley,54.868,-1.6985,13.2,86,20,2.06,GB,1696265773
132,naze,28.3667,129.4833,26.51,79,82,9.05,JP,1696265965
133,ratnapura,6.6828,80.3992,23.41,94,83,1.26,LK,1696266061
135,mahdia,35.5047,11.0622,24.97,64,0,4.46,TN,1696266061
136,northam,51.0333,-4.2167,16.81,98,100,7.78,GB,1696266062
137,acapulco de juarez,16.8634,-99.8901,32.31,59,89,2.34,MX,1696266064
138,vilyuchinsk,52.9306,158.4028,8.85,86,100,11.35,RU,1696266066
139,luimneach,52.6647,-8.6231,15.97,86,93,2.19,IE,1696266066
140,dudinka,69.4058,86.1778,-1.85,96,100,10.28,RU,1696266067
142,nemuro,43.3236,145.575,14.06,69,5,10.12,JP,1696266067
143,svetlyy,54.675,20.1347,17.98,55,100,5.49,RU,1696266068
144,uglegorsk,49.0833,142.0333,13.11,89,100,12.31,RU,1696266069
145,namsos,64.4662,11.4957,11.03,87,75,0.51,NO,1696266070
147,illizi,26.4833,8.4667,34.89,15,27,8.15,DZ,1696265823
148,tougan,13.0667,-3.0667,34.1,40,97,2.66,BF,1696266070
150,paso robles,35.6266,-120.691,19.34,69,0,0.89,US,1696266016
151,tiksi,71.6872,128.8694,-3.02,83,100,3.71,RU,1696266070
153,westport,41.1415,-73.3579,25.65,63,45,2.68,US,1696265942
154,stuttgart,48.7823,9.177,24.78,54,0,1.54,DE,1696265887
155,steinbach,50.1667,8.5667,24.2,61,0,1.03,DE,1696266071
156,vorgashor,67.5833,63.95,4.56,92,100,7.75,RU,1696266071
158,ulsteinvik,62.3432,5.8487,13.75,85,100,4.92,NO,1696266071
159,taunsa,30.7048,70.6505,29.05,13,0,2.39,PK,1696266072
160,tarusa,54.7233,37.1767,13.48,83,38,2.66,RU,1696266072
162,yellowknife,62.456,-114.3525,6.34,100,75,1.03,CA,1696265882
163,hamilton,39.1834,-84.5333,29.03,52,0,0.89,US,1696265986
166,iskateley,67.6803,53.1512,3.9,78,98,9.39,RU,1696266073
167,isafjordur,66.0755,-23.124,4.02,70,75,6.17,IS,1696266073
169,nova sintra,14.8667,-24.7167,24.07,78,81,1.91,CV,1696266073
170,kristiansund,63.1115,7.732,11.03,87,75,0.0,NO,1696266073
171,vilyuysk,63.7553,121.6247,1.11,75,100,1.79,RU,1696266073
172,badger,64.8,-147.5333,1.1,94,100,1.54,US,1696266073
173,betio village,1.358,172.9211,29.02,74,10,3.02,KI,1696266074
174,vyazemskiy,47.5378,134.7525,7.74,88,99,2.33,RU,1696266074
175,lerma,42.0261,-3.7598,30.31,16,12,4.38,ES,1696266074
176,daloa,6.8774,-6.4502,26.63,89,71,1.17,CI,1696266074
177,west bay,19.3667,-81.4167,32.22,74,20,4.12,KY,1696266074
178,aasiaat,68.7098,-52.8699,-2.75,60,1,5.9,GL,1696266074
180,fuglafjordur,62.244,-6.814,10.26,84,99,10.02,FO,1696266074
181,olonkinbyen,70.9221,-8.7187,2.92,88,100,8.47,SJ,1696266075
182,wulingyuan,29.3494,110.5441,17.26,96,100,1.75,CN,1696266075
183,neftekumsk,44.6667,44.9167,19.82,49,100,3.36,RU,1696266075
184,rongelap,11.1635,166.8941,28.56,79,100,5.44,MH,1696266075
185,ndele,8.4109,20.6473,22.17,97,100,1.92,CF,1696266075
186,at taj,24.2049,23.2857,27.91,28,98,5.19,LY,1696266075
187,middleburg,30.0689,-81.8604,29.14,68,46,0.89,US,1696266005
188,weinan,34.5036,109.5089,13.82,91,75,1.49,CN,1696266076
189,lhasa,29.65,91.1,14.75,59,74,2.15,CN,1696266076
190,teguise,29.0605,-13.564,24.12,83,0,6.17,ES,1696266076
192,horta,38.5333,-28.6333,21.8,67,20,5.14,PT,1696266076
193,alo,7.4178,6.7371,27.56,83,99,1.21,NG,1696266076
194,calatayud,41.3535,-1.6432,29.05,30,100,1.94,ES,1696266076
196,arhavi,41.3492,41.3069,17.95,88,100,5.19,TR,1696266077
199,keflavik,64.0049,-22.5624,8.95,76,75,11.32,IS,1696266077
201,tosno,59.54,30.8775,11.8,85,97,1.53,RU,1696266078
202,kattivakkam,13.2167,80.3167,30.05,84,100,4.61,IN,1696266078
