City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,9.95,63,100,11.08,SH,1696194989
1,adamstown,-25.066,-130.1015,20.52,82,10,11.43,PN,1696194989
2,papatowai,-46.5619,169.4708,13.45,62,26,9.56,NZ,1696194989
12,waitangi,-43.9535,-176.5597,14.34,87,72,3.13,NZ,1696194990
13,port-aux-francais,-49.35,70.2167,6.96,96,100,19.66,TF,1696194991
15,puerto natales,-51.7236,-72.4875,4.15,68,38,7.53,CL,1696194991
16,saint-pierre,-21.3393,55.4781,21.82,73,0,2.57,RE,1696194991
20,grytviken,-54.2811,-36.5092,3.78,77,1,4.03,GS,1696194992
22,minas de marcona,-15.2119,-75.1103,17.7,70,16,6.06,PE,1696194992
32,malanje,-9.5402,16.341,19.11,89,80,2.06,AO,1696194993
37,quelimane,-17.8786,36.8883,24.97,83,0,5.66,MZ,1696194994
40,piacabucu,-10.4056,-36.4344,23.29,75,5,3.4,BR,1696194995
42,sao gabriel da cachoeira,-0.1303,-67.0892,33.54,50,100,1.15,BR,1696194846
45,pisco,-13.7,-76.2167,22.03,68,0,6.69,PE,1696194995
47,ushuaia,-54.8,-68.3,3.81,48,20,7.2,AR,1696194950
50,lebu,-37.6167,-73.65,11.77,71,100,4.02,CL,1696194996
56,gore,-46.1028,168.9436,13.04,58,30,7.07,NZ,1696194997
58,puerto ayora,-0.7393,-90.3518,29.98,90,86,3.58,EC,1696194998
59,collie,-33.3667,116.15,7.92,84,100,5.04,AU,1696194998
60,west island,-12.1568,96.8225,24.99,78,100,5.14,CC,1696194998
62,taltal,-25.4,-70.4833,17.47,69,28,2.83,CL,1696194998
63,kavieng,-2.5744,150.7967,27.96,78,54,3.03,PG,1696194998
68,blackmans bay,-43.0167,147.3167,7.07,89,53,2.81,AU,1696194999
70,avarua,-21.2078,-159.775,26.03,89,75,1.03,CK,1696195000
72,sao vicente,-23.9631,-46.3919,23.1,62,100,1.54,BR,1696194800
78,behompy,-23.2496,43.8557,21.64,90,0,0.74,MG,1696195001
82,san antonio de pale,-1.4014,5.6325,25.28,82,57,6.69,GQ,1696195001
85,hithadhoo,-0.6,73.0833,27.7,75,72,5.0,MV,1696195002
90,nova vicosa,-17.8919,-39.3719,23.47,75,12,6.72,BR,1696195002
94,salinopolis,-0.6136,-47.3561,27.46,79,100,7.13,BR,1696195003
95,micheweni,-4.9667,39.8333,24.36,81,0,4.31,TZ,1696195003
96,codrington,-38.2667,141.9667,6.18,86,1,3.26,AU,1696195003
97,luwingu,-10.2621,29.9271,23.61,25,18,2.01,ZM,1696195003
98,port lincoln,-34.7333,135.8667,12.35,80,0,4.68,AU,1696195004
101,mount gambier,-37.8333,140.7667,6.01,85,0,2.35,AU,1696194766
104,richards bay,-28.783,32.0377,17.74,65,95,3.52,ZA,1696195004
105,papao,-17.75,-149.55,27.82,83,10,8.67,PF,1696195005
109,rio grande,-32.035,-52.0986,18.06,76,0,3.63,BR,1696195005
112,hermanus,-34.4187,19.2345,12.93,76,2,3.74,ZA,1696195006
113,port mathurin,-19.6833,63.4167,23.15,76,1,7.28,MU,1696195006
114,carutapera,-1.195,-46.02,27.18,75,77,4.89,BR,1696195006
115,punta arenas,-53.15,-70.9167,4.06,60,40,12.35,CL,1696194911
116,touros,-5.1989,-35.4608,25.24,73,36,6.16,BR,1696195006
117,ancud,-41.8697,-73.8203,6.98,94,100,2.25,CL,1696195006
123,nchelenge,-9.3451,28.734,26.2,65,78,4.57,ZM,1696195007
124,fale old settlement,-9.3852,-171.2468,28.08,73,71,2.37,TK,1696195007
126,pangkalanbuun,-2.6833,111.6167,21.56,97,97,0.81,ID,1696195008
129,arraial do cabo,-22.9661,-42.0278,20.98,94,75,2.06,BR,1696195008
131,iquique,-20.2208,-70.1431,20.02,71,4,3.36,CL,1696195008
134,antonio enes,-16.2325,39.9086,23.86,81,3,4.09,MZ,1696195009
136,port saint john's,-31.6229,29.5448,16.95,62,100,2.42,ZA,1696195009
138,port elizabeth,-33.918,25.5701,16.16,77,0,5.66,ZA,1696194719
148,east london,-33.0153,27.9116,16.19,62,31,4.79,ZA,1696194908
150,kruisfontein,-34.0033,24.7314,14.38,78,0,5.07,ZA,1696195011
152,malango,-2.9627,119.9001,18.99,98,91,0.45,ID,1696195012
154,orcopampa,-15.2661,-72.3417,10.96,73,88,3.44,PE,1696195012
156,greymouth,-42.4667,171.2,13.2,97,100,9.43,NZ,1696195012
158,port hedland,-20.3167,118.5667,20.03,77,5,3.09,AU,1696195012
160,imbituba,-28.24,-48.6703,19.94,77,57,6.58,BR,1696195013
161,santa terezinha,-29.9002,-50.0904,14.92,68,5,4.85,BR,1696195013
166,miracema do tocantins,-9.5618,-48.3967,36.28,19,8,2.77,BR,1696195014
167,port-gentil,-0.7193,8.7815,25.9,86,95,5.26,GA,1696195014
168,port augusta,-32.5,137.7667,15.35,54,0,1.94,AU,1696195014
172,carnarvon,-24.8667,113.6333,19.64,71,100,6.68,AU,1696195015
175,kiunga,-6.1219,141.2906,23.33,99,100,0.73,PG,1696195015
179,bredasdorp,-34.5322,20.0403,10.79,85,0,1.73,ZA,1696195016
181,joao camara,-5.5375,-35.8197,24.71,62,53,5.93,BR,1696195016
182,alofi,-19.0595,-169.9187,24.94,57,100,8.75,NU,1696195016
187,chos malal,-37.3781,-70.2709,22.08,17,100,7.05,AR,1696195017
190,coruripe,-10.1256,-36.1756,23.18,72,4,3.63,BR,1696195017
191,punta alta,-38.8759,-62.0736,25.6,41,57,2.99,AR,1696195017
192,wynyard,-41.0,145.7167,6.66,82,40,2.45,AU,1696195018
199,otjimbingwe,-22.35,16.1333,24.68,14,0,1.38,,1696195019
202,atafu village,-8.5421,-172.5159,28.32,70,46,0.83,TK,1696195019
204,invercargill,-46.4,168.35,14.45,62,50,5.81,NZ,1696195004
207,port douglas,-16.4833,145.4667,22.84,78,59,3.76,AU,1696195020
209,mombaca,-5.7431,-39.6275,31.36,31,63,2.47,BR,1696195020
211,tadine,-21.55,167.8833,21.34,62,94,8.25,NC,1696195020
212,alice springs,-23.7,133.8833,25.75,24,44,4.63,AU,1696195021
216,posto fiscal rolim de moura,-13.0833,-62.2667,30.9,55,100,3.14,BR,1696195021
219,auki,-8.7676,160.7034,27.13,78,62,3.26,SB,1696195022
220,tolanaro,-25.0319,46.9987,20.93,87,4,3.21,MG,1696195022
222,east ballina,-28.8667,153.5833,17.67,69,0,4.74,AU,1696195022
223,itamaraca,-7.7478,-34.8256,27.03,73,1,4.1,BR,1696195023
225,souillac,-20.5167,57.5167,23.21,88,75,3.09,MU,1696195023
226,aripuana,-9.1667,-60.6333,33.56,39,99,1.09,BR,1696195023
228,callao,-12.0667,-77.15,21.16,68,40,6.17,PE,1696195023
229,maramba,-5.05,38.6167,15.76,93,1,0.46,TZ,1696195023
230,kone,-21.0595,164.8658,22.19,60,24,4.35,NC,1696195024
231,acarau,-2.8856,-40.12,25.95,76,28,8.23,BR,1696195024
234,sungai penuh,-2.0833,101.3833,18.2,97,99,0.36,ID,1696195024
237,new norfolk,-42.7826,147.0587,7.72,81,86,1.0,AU,1696195025
248,nhamunda,-2.1861,-56.7131,38.07,21,48,3.3,BR,1696195026
249,byron bay,-28.65,153.6167,17.62,71,0,5.92,AU,1696195026
250,ulladulla,-35.35,150.4667,16.54,66,93,1.89,AU,1696195026
257,afaahiti,-17.75,-149.2833,26.93,88,37,7.72,PF,1696195027
